Süre (Sn)	Basýnç (Torr)	Basýnç (Torr)	Basýnç (Torr)
		K-KBÖ		K-BBÖ		AH-PBÖ
1870		4,1E-2		5,5E+2		1,7E-1
1875		4,1E-2		5,5E+2		1,7E-1
1880		4,1E-2		5,5E+2		1,7E-1
1885		4,1E-2		5,5E+2		1,7E-1
1890		4,1E-2		5,5E+2		1,7E-1
1895		4,1E-2		5,5E+2		1,7E-1
1900		4,1E-2		5,5E+2		1,7E-1
1905		4,1E-2		5,5E+2		1,7E-1
1910		4,1E-2		5,5E+2		1,7E-1
1915		4,1E-2		5,5E+2		1,7E-1
1920		4,1E-2		5,5E+2		1,7E-1
1925		4,1E-2		5,5E+2		1,7E-1
1930		4,0E-2		5,5E+2		1,7E-1
1935		4,1E-2		5,5E+2		1,7E-1
1940		4,1E-2		5,5E+2		1,7E-1
1945		4,1E-2		5,5E+2		1,7E-1
1950		4,1E-2		5,5E+2		1,7E-1
1955		4,1E-2		5,5E+2		1,7E-1
1960		4,1E-2		5,5E+2		1,7E-1
1965		4,1E-2		5,5E+2		1,7E-1
1970		4,1E-2		5,5E+2		1,7E-1
1975		4,1E-2		5,5E+2		1,7E-1
1980		4,1E-2		5,5E+2		1,7E-1
1985		4,1E-2		5,5E+2		1,7E-1
1990		4,1E-2		5,5E+2		1,7E-1
1995		4,1E-2		5,5E+2		1,7E-1
2000		4,1E-2		5,5E+2		1,7E-1
2005		4,1E-2		5,5E+2		1,7E-1
2010		4,1E-2		5,5E+2		1,7E-1
2015		4,1E-2		5,5E+2		1,7E-1
2020		4,1E-2		5,5E+2		1,7E-1
2025		4,1E-2		5,5E+2		1,7E-1
2030		4,1E-2		5,5E+2		1,7E-1
2035		4,0E-2		5,5E+2		1,7E-1
2040		4,1E-2		5,5E+2		1,7E-1
2045		4,1E-2		5,5E+2		1,7E-1
2050		4,1E-2		5,5E+2		1,7E-1
2055		4,1E-2		5,5E+2		1,7E-1
2060		4,1E-2		5,5E+2		1,7E-1
2065		4,1E-2		5,5E+2		1,7E-1
2070		4,1E-2		5,5E+2		1,7E-1
2075		4,1E-2		5,5E+2		1,7E-1
2080		4,1E-2		5,5E+2		1,7E-1
2085		4,1E-2		5,5E+2		1,7E-1
2090		4,1E-2		5,5E+2		1,7E-1
2095		4,1E-2		5,5E+2		1,7E-1
2100		4,1E-2		5,5E+2		1,7E-1
2105		4,1E-2		5,5E+2		1,7E-1
2110		4,1E-2		5,5E+2		1,7E-1
2115		4,1E-2		5,5E+2		1,7E-1
2120		4,0E-2		5,5E+2		1,7E-1
2125		4,0E-2		5,5E+2		1,7E-1
2130		4,2E-2		5,4E+2		1,7E-1
2135		4,7E-2		5,0E+2		1,8E-1
2140		4,8E-2		4,5E+2		2,2E-1
2145		4,1E-2		4,1E+2		2,7E-1
2150		2,9E-2		3,5E+2		3,0E-1
2155		2,0E-2		3,1E+2		2,8E-1
2160		1,2E-2		2,7E+2		2,7E-1
2165		1,6E-3		2,1E+2		2,5E-1
2170		1,8E-4		1,7E+2		2,2E-1
2175		2,9E-5		1,2E+2		1,9E-1
2180		2,7E-5		7,4E+1		1,8E-1
2185		3,0E-5		1,8E+1		1,8E-1
2190		2,6E-5		2,2E+0		1,8E-1
2195		2,3E-5		2,6E-1		1,7E-1
2200		2,0E-5		1,7E-1		1,7E-1
2205		1,9E-5		1,6E-1		1,7E-1
