Süre	1. Bölge	2. Bölge	3. Bölge	Isýnma	Soðutma 
(Sn)	(ºC)		(ºC)		(ºC)		(ºC)	(ºC)
       	Mavi		Kýrmýzý		Yeþil		Turuncu	Sarý
625	37		32		34		47	19
626	37		32		35		47	19
627	37		32		35		47	19
628	37		32		35		48	19
629	37		32		35		48	19
630	38		32		35		48	19
631	38		32		35		48	19
632	38		32		35		48	19
633	38		32		35		48	19
634	38		32		35		48	19
635	38		32		35		48	19
636	38		32		35		48	19
637	38		32		35		48	19
638	38		32		35		49	19
639	38		32		35		49	19
640	38		32		35		49	19
641	38		32		35		49	19
642	38		32		35		49	19
643	39		32		35		49	19
644	39		32		35		49	19
645	39		32		35		49	19
646	39		32		35		49	19
647	39		32		35		49	19
648	39		32		36		49	19
649	39		32		36		50	19
650	39		33		36		50	19
651	39		33		36		50	19
652	39		33		36		50	19
653	39		33		36		50	19
654	39		33		36		50	19
655	39		33		36		50	19
656	39		33		36		50	19
657	39		33		36		50	19
658	39		33		36		50	19
659	39		33		36		50	19
660	40		33		36		50	19
661	40		33		36		51	19
662	40		33		36		51	19
663	40		33		36		51	19
664	40		33		36		51	19
665	40		33		36		51	19
666	40		33		37		51	19
667	40		33		37		51	19
668	40		33		37		51	19
669	40		33		37		51	19
670	40		33		37		52	19
671	40		33		37		52	19
672	40		33		37		52	19
673	41		33		37		52	19
674	41		33		37		52	19
675	41		33		37		52	19
676	41		33		37		52	19
677	41		33		37		53	19
678	41		33		37		53	19
679	41		33		37		53	19
680	41		33		37		53	19
681	41		33		37		53	19
682	41		33		37		53	19
683	41		33		37		53	19
684	41		33		37		53	19
685	41		33		37		53	19
686	41		33		37		53	19
687	41		33		38		53	19
688	41		34		38		53	19
689	41		34		38		53	19
690	41		34		38		54	19
691	41		34		38		54	19
692	41		34		38		54	19
693	41		34		38		54	19
694	42		34		38		54	19
695	42		34		38		54	19
696	42		34		38		54	19
697	42		34		38		54	19
698	42		34		38		54	19
699	42		34		38		54	19
700	42		34		38		54	19
701	42		34		38		54	19
702	42		34		38		55	19
703	42		34		38		55	19
704	42		34		39		55	19
705	42		34		39		55	19
706	42		34		39		55	19
707	43		34		39		55	19
708	43		34		39		55	19
709	43		34		39		55	19
710	43		34		39		55	20
711	43		34		39		55	20
712	43		34		39		55	20
713	43		34		39		56	20
714	43		34		39		56	20
715	43		34		39		56	20
716	43		34		39		56	20
717	43		34		39		56	20
718	43		34		39		56	20
719	43		34		39		56	20
720	43		34		39		56	20
721	43		35		39		56	20
722	43		35		39		56	20
723	43		35		40		56	20
724	43		35		40		56	20
725	43		35		40		56	20
